Marca;Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría
HONDA;CITY;2011;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2011;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2012;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2012;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2013;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2013;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
DODGE;VISION;2016;MAN;Gasolina;4;113;1,6;AUTOS COMPACTOS
MAZDA;MAZDA3;2014;AUT;Gasolina;4;185;2,5;AUTOS COMPACTOS
NISSAN;SENTRA;2015;MAN;Gasolina;4;129;1,8;AUTOS COMPACTOS
MAZDA;MAZDA3;2015;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
CHEVROLET;CRUZE;2016;MAN;Gasolina;4;138;1,4;AUTOS COMPACTOS
FORD;FOCUS;2014;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
NISSAN;SENTRA;2013;MAN;Gasolina;4;129;1,8;AUTOS COMPACTOS
NISSAN;SENTRA;2016;MAN;Gasolina;4;129;1,8;AUTOS COMPACTOS
KIA;SOUL;2016;AUT;Gasolina;4;122;1,6;AUTOS COMPACTOS
FORD;FOCUS;2012;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2012;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2013;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2013;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
HONDA;FIT;2015;CVT;Gasolina;4;130;1,5;AUTOS COMPACTOS
HONDA;FIT;2015;CVT;Gasolina;4;130;1,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2015;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2015;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
HONDA;FIT;2016;CVT;Gasolina;4;130;1,5;AUTOS COMPACTOS
HONDA;FIT;2016;CVT;Gasolina;4;130;1,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
HONDA;FIT;2017;;Gasolina;4;130;1,5;AUTOS COMPACTOS
HONDA;FIT;2017;;Gasolina;4;130;1,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
CHEVROLET;CRUZE;2014;AUT;Gasolina;4;138;1,4;AUTOS COMPACTOS
DODGE;DART;2013;AUT;Gasolina;4;160;1,4;AUTOS COMPACTOS
HONDA;FIT;2011;M5;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2011;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2011;M5;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2011;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2012;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2012;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2012;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2012;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2013;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
